Name,Link,Type,Program(s),List,Score,Aliases,Addresses,Country
STAR TRADE GHANA LIMITED,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23667,Entity,SDGT,SDN,,,"Enyado HSE, TemaHarbour, Tema, Ghana; (0537N 00001W),",Ghana
ASB GROUP OF COMPANIES LIMITED,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=36011,Entity,SDGT,SDN,,,"13/15 Giro's Passage Gibraltar, GX11 1AA, Gibraltar; Istinye Mahallesi Bostan Sokak No: 12, 34460, Istanbul, Turkey",Gibraltar
AFRICA HORIZONS INVESTMENT LIMITED,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23266,Entity,GLOMAG,SDN,,," Cayman Islands; 57/63 Line Wall Road, Gibraltar, GX11 1AA, Gibraltar",Gibraltar
FLEURETTE PROPERTIES LIMITED,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23256,Entity,GLOMAG,SDN,,strong: FLEURETTE GROUP; strong: GROUPE FLEURETTE; strong: FLEURETTE DUTCH GROUP; strong: KARIBU AU DEVELOPMENT DURABLE AU CONGO; strong: VENTORA INVESTMENTS S.A.SU,"Strawinskylaan 335, Amsterdam, 1077 XX, Netherlands; WTC, B-Tower 3rd floor, Gustav Mahlerplein 60, Amsterdam, 1082 MA, Netherlands; 7th Floor, ITO Tower, 70 Batetela Avenue, Kinshasa, Congo, Democratic Republic of the; Tilapia Building, 5th floor, Gombe, 57/63 Line Wall Road, Gibraltar, GX11 1AA, Gibraltar; 8eme Etage, Immeuble 1113, Kinshasa, Congo, Democratic Republic of the; Boulevard Du 30 Juin No 110, Commune De La Gombe",Gibraltar
ROZARO DEVELOPMENT LIMITED,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23274,Entity,GLOMAG,SDN,,,"57/63 Line Wall Road, Gibraltar",Gibraltar
KALLIOPE LIMITED,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=16838,Entity,SDNTK,SDN,,,"Suite 2, Gibraltar; Portland House, Glacis Road",Gibraltar
KINTALEG LIMITED,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=34056,Entity,GLOMAG,SDN,,,"57/63, Line Wall Road, Gibraltar, GX11 1AA, Gibraltar",Gibraltar
BANK SADERAT IRAN,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=10368,Entity,IFSR; IRAN; SDGT,SDN,,strong: IRAN EXPORT BANK,"PO Box 15745-631, Bank Saderat Tower, 43 Somayeh Avenue, Tehran, Iran; 16 rue de la Paix, Paris, 75002, France; Postfach 160151, Friedenstr 4, D-60311, Frankfurt am Main, Germany; PO Box 4308, 25-29 Venizelou St, Athens, Attica, GR 105 64, Greece; 3rd Floor, Aliktisad Bldg, Ras El Ein Street Baalbak, Baalbak, Lebanon; Saida Branch, Sida Riad Elsoleh St, Martyrs Sq, Saida, Lebanon; Borj Albarajneh Branch - 20 Alholom Bldg, Sahat Mreijeh, Kafaat St, Beirut, Lebanon; 1st Floor, Alrose Bldg, Verdun - Rashid Karame St, Beirut, Lebanon; PO Box 5126, Beirut, Lebanon; 3rd Floor, Mteco Centre, Mar Elias, Facing Al Hellow Barrak, POB 5126, Beirut, Lebanon; Alghobeiri Branch - Aljawhara Bldg, Ghobeiry Blvd, Beirut, Lebanon; PO Box 1269, Muscat, 112, Oman; PO Box 4425, Salwa Rd, Doha, Qatar; PO Box 2256, Doha, Qatar; 2nd Floor, No 181 Makhtoomgholi Ave, Ashgabat, Turkmenistan; PO Box 700, Abu Dhabi, United Arab Emirates; PO Box 16, Liwara Street, Ajman, United Arab Emirates; PO Box 1140, Al-Am Road, Al-Ein, Al Ain, Abu Dhabi, United Arab Emirates; Bur Dubai, Khaled Bin Al Walid St, Dubai City, United Arab Emirates; Sheikh Zayed Rd, Dubai City, United Arab Emirates; PO Box 4182, Almaktoum Rd, Dubai City, United Arab Emirates; PO Box 4182, Murshid Bazar Branch, Dubai City, United Arab Emirates; PO Box 316, Bank Saderat Bldg, Alaroda St, Borj Ave, Sharjah, United Arab Emirates; Ground Floor Business Room, Building Banke Khoon Road, Harat, Afghanistan; No. 56, Opposite of Security Department, Toraboz Khan Str., Kabul, Afghanistan; 5 Lothbury, London, EC2R 7HD, United Kingdom; Postfach 112227, Deichstrasse 11, 20459, Hamburg, Germany",Greece
CONSPIRACY OF FIRE NUCLEI,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=12928,Entity,SDGT,SDN,,strong: CONSPIRACY OF THE NUCLEI OF FIRE; strong: CONSPIRACY OF CELLS OF FIRE; strong: SYNOMOSIA PYRINON TIS FOTIAS; strong: THESSALONIKI-ATHENS FIRE NUCLEI CONSPIRACY, Greece,Greece
IMPIRE SHIPPING COMPANY,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15720,Entity,IRAN,SDN,,strong: IMPIRE SHIPPING LIMITED; strong: IMPIRE SHIPPING, Greece,Greece
NORDSTRAND MARITIME AND TRADING COMPANY,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=1571,Entity,CUBA,SDN,,,"33 Akti Maouli, Pireas (Piraeus), 185-35, Greece",Greece
PROPER IN MANAGEMENT INCORPORATED,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=26656,Entity,VENEZUELA-EO13850,SDN,,strong: PROPER IN MANAGEMENT INC,"2, Gounari Street, Piraeus, Athens, 185 31, Greece; 2 D Gounari Street, Piraeus, Greece",Greece
REVOLUTIONARY STRUGGLE,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11496,Entity,FTO; SDGT,SDN,,strong: EPANASTATIKOS AGHONAS, Greece,Greece
SECT OF REVOLUTIONARIES,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=12605,Entity,SDGT,SDN,,strong: SEKHTA EPANASTATON; strong: SEKTA EPANASTATON; strong: SECTA EPANASTATON; strong: REVOLUTIONARIES SECT; strong: REBEL SECT; strong: ARMED STRUGGLE FOR REVOLUTIONARY INDEPENDENCE SECT OF REVOLUTIONARIES; weak: SE, Greece,Greece
THIEVES-IN-LAW,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23223,Entity,TCO,SDN,,strong: THIEVES-WITHIN-THE-LAW; strong: THIEVES PROFESSING THE CODE; strong: THIEF-IN-LAW; strong: VORY V ZAKONYE; strong: VORY-V-ZAKONE; strong: VORY V ZAKONI; strong: VOR V ZAKONYE; strong: VOR-V-ZAKONE; strong: VOR-ZAKONNIK; strong: KANONIERI KURDEBI; strong: KANONIERI QURDEBI; strong: KANONIERI QURDI; strong: RAMKIANI QURDI; strong: RAMKIANI QURDEBI; strong: SINIE; strong: ZAKONNIK, United States; Russia; Greece; Ukraine; Spain,Greece
CONSTRUCTORA W.L.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=13430,Entity,SDNTK,SDN,,strong: SERVICENTRO LA GRAN VIA," La Reforma, Zacapa, Guatemala",Guatemala
IMPORTADORA Y EXPORTADORA LORENZANA,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=13435,Entity,SDNTK,SDN,,"strong: IMPORTADORA LORENZANA, S.A."," La Reforma, Zacapa, Guatemala",Guatemala
ADMINISTRADORA DEL ORIENTE,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=13434,Entity,SDNTK,SDN,,strong: HOTEL REGENTE; strong: ESTACION GUADALUPE, Guatemala,Guatemala
BARAKAT TRANSNATIONAL CRIMINAL ORGANIZATION,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=24037,Entity,TCO,SDN,,strong: NASIF BARAKAT ALIEN SMUGGLING ORGANIZATION, Syria; Lebanon; United Arab Emirates; Turkey; Brazil; Colombia; Guatemala; Venezuela; Panama; Mexico,Guatemala
CEVICHERIA LA CONCHA,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=26808,Entity,SDNTK,SDN,,,"Aldea Sanjon San Lorenzo, Tecun Uman, Ayutla, San Marcos, Guatemala",Guatemala
COMERCIAL JINAN S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11557,Entity,SDNT,SDN,,,"20 Calle No. 16-36, Guatemala, Guatemala; Proyecto 4-4, Zona 6,",Guatemala
"COMPRADORES Y EXPORTADORES DE CAFE CAPTZIN, SOCIEDAD ANONIMA",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32455,Entity,ILLICIT-DRUGS-EO14059,SDN,,weak: COMEXCAFE,"Canton La Candelaria Z.0, La Democracia, Huehuetenango, Guatemala",Guatemala
CONSTRUCTORA H.L.P.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=13431,Entity,SDNTK,SDN,,strong: GASOLINERA JESUS MARIA; strong: TRANSPORTES LC," La Reforma, Zacapa, Guatemala",Guatemala
CONSTRUCTORA H.L.T.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=13433,Entity,SDNTK,SDN,,," La Reforma, Zacapa, Guatemala",Guatemala
"GRUPO WISA, S.A.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18951,Entity,SDNTK,SDN,,strong: LA RIVIERA,"Calle 15 entre Avenida Santa Isabel y Avenida Roosevelt, Colon, Panama; Zona Libre de Colon, Torre Generali, Panama, Panama; Piso 11 y 12, Calle 54 Este y Avenida Samuel Lewis, Colombia; Guatemala; Belize; Costa Rica; El Salvador; Mexico; Bolivia; Honduras; Nicaragua; Uruguay",Guatemala
MS-13,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15412,Entity,TCO,SDN,,strong: MARA SALVATRUCHA, El Salvador; Mexico; Honduras; Guatemala; United States,Guatemala
"INVERSIONES IRIS MANUELA, S.A.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=13436,Entity,SDNTK,SDN,,strong: SERVICENTRO DEL LAGO; strong: SERVIFIESTAS ELEGANCE," Guatemala City, Guatemala",Guatemala
LOLALIMES,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=13382,Entity,SDNTK,SDN,,," La Reforma, Zacapa, Guatemala",Guatemala
LOS HUISTAS DRUG TRAFFICKING ORGANIZATION,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32452,Entity,ILLICIT-DRUGS-EO14059,SDN,,weak: LOS HUISTAS DTO," Santa Ana Huista, Huehuetenango, Guatemala; San Antonio Huista, Huehuetenango, Guatemala; La Democracia, Huehuetenango, Guatemala",Guatemala
JC CAR AUDIO,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=26797,Entity,SDNTK,SDN,,,"05 Calle, Zona 1, Tecun Uman, San Marcos, Guatemala",Guatemala
MULTISERVICIOS Y FINCA EL ENCANTO,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=26795,Entity,SDNTK,SDN,,,"Kilometro 252 y medio, Tecun Uman, San Marcos, Guatemala",Guatemala
RANCHO LA DORADA,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=26798,Entity,SDNTK,SDN,,,"2o Callejon, Caserio las Delicias, Ayutla, San Marcos, Guatemala",Guatemala
STAR MARKET MELANYE,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=26796,Entity,SDNTK,SDN,,,"3A. Avenida 2-10 Zona 1, Tecun Uman, Ayutla, San Marcos, Guatemala",Guatemala
SUNIGA RODRIGUEZ DRUG TRAFFICKING ORGANIZATION,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=26785,Entity,SDNTK,SDN,,weak: LOS POCHOS DTO," Ayutla, San Marcos, Guatemala",Guatemala
TRANSPORTES J.L. CORDON,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=13432,Entity,SDNTK,SDN,,strong: OBRA CIVIL Y CARRETERAS, Guatemala,Guatemala
ROSE GROUP LIMITED,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18289,Entity,UKRAINE-EO13662,Non-SDN,,strong: RGI INTERNATIONAL LIMITED; weak: ROSE GROUP; strong: RGI INTERNATIONAL,"Frances House, St. Peter Port, GY1 4EU, Guernsey; Sir William Place, Korobeinikov Lane, 1, Moscow, 119034, Russia",Guernsey
NORD GOLD PLC,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=37505,Entity,RUSSIA-EO14024,SDN,,strong: NORDGOLD; strong: NORD GOLD UK SOCIETAS; strong: NORD GOLD SE,"27 Dover Street, London, W1S 4LZ, United Kingdom; Mayfair, Russia; Burkina Faso; Guinea",Guinea
EMPRESA CUBANA DE AVIACION,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=735,Entity,CUBA,SDN,,strong: CUBANA AIRLINES,"32 Main Street, Georgetown, Guyana; 24 Rue Du Quatre Septembre, Paris, France; Belas Airport, Luanda, Angola; Dobrininskaya No. 7, Sec 5, Moscow, Russia; Corrientes 545 Primer Piso, Buenos Aires, Argentina; Frankfurter TOR 8-A, Berlin, Germany; 1 Place Ville Marie, Suite 3431, Montreal, Canada; Parizska 17, Prague, Czech Republic; Paseo de la Republica 126, Lima, Peru; Piarco Airport, Port au Prince, Haiti; c/o Anglo-Caribbean Shipping Co. Ltd., London, EC3N 1DY, United Kingdom; Ibex House, The Minories, Norman Manley International Airport, Kingston, Jamaica; Melchor Ocampo 469, 5DF, Mexico City, Mexico; Calle 29 y Avda Justo Arosemena, Panama City, Panama; Grantley Adams Airport, Christ Church, Barbados; Madrid, Spain",Guyana
EMPRESA CUBANA DE AVIACION,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=735,Entity,CUBA,SDN,,strong: CUBANA AIRLINES,"32 Main Street, Georgetown, Guyana; 24 Rue Du Quatre Septembre, Paris, France; Belas Airport, Luanda, Angola; Dobrininskaya No. 7, Sec 5, Moscow, Russia; Corrientes 545 Primer Piso, Buenos Aires, Argentina; Frankfurter TOR 8-A, Berlin, Germany; 1 Place Ville Marie, Suite 3431, Montreal, Canada; Parizska 17, Prague, Czech Republic; Paseo de la Republica 126, Lima, Peru; Piarco Airport, Port au Prince, Haiti; c/o Anglo-Caribbean Shipping Co. Ltd., London, EC3N 1DY, United Kingdom; Ibex House, The Minories, Norman Manley International Airport, Kingston, Jamaica; Melchor Ocampo 469, 5DF, Mexico City, Mexico; Calle 29 y Avda Justo Arosemena, Panama City, Panama; Grantley Adams Airport, Christ Church, Barbados; Madrid, Spain",Haiti
"INVERSIONES TURISTICAS JOYA GRANDE, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=16182,Entity,SDNTK,SDN,,strong: ZOOLOGICO JOYA GRANDE; strong: ZOOLOGICO Y ECO-PARQUE JOYA GRANDE; strong: JOYA GRANDE; strong: JOYA GRANDE ZOOLOGICO Y ECOPARQUE; strong: ZOO JOYA GRANDE,"Colonia Moderna, San Pedro Sula, Cortes, Honduras; Km. 9 despues de Santa Cruz de Yojoa, San Pedro Sula, Cortes, Honduras",Honduras
INVERSIONES LUISITO,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=16631,Entity,SDNTK,SDN,,,"Aldea Espiritu Santo, Municipio de Florida, Departamento de Copan, Honduras",Honduras
"INMOBILIARIA RIVERA MARADIAGA, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=16181,Entity,SDNTK,SDN,,strong: INRIMAR,"Florencia Norte, Distrito Central, Francisco Morazan, Honduras; Plaza America, Av Roble 201, Barrio Los Laureles, Tocoa, Colon, Honduras; Carretera Panamericana Norte contiguo a DIPPSA, Barrio El Centro, Tocoa, Colon, Honduras",Honduras
AUTO PARTES HANDAL S. DE R.L. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15182,Entity,SDNTK,SDN,,strong: SUPERTIENDAS & AUTO PARTES HANDAL; strong: APH S. DE R.L. DE C.V.,"3 Ave y 14 Calle N.O., San Pedro Sula, Cortes, Honduras; Barrio Las Acacias, Apartado Postal No 1018, 14 de Julio, La Ceiba, Atlantida, Honduras; Ave Junior, San Pedero Sula, Cortes, Honduras; Entre 7 y 6 Calle Sureste,",Honduras
"GANADEROS AGRICULTORES DEL NORTE, S. DE R.L. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=16178,Entity,SDNTK,SDN,,weak: GAN,"Bo Las Flores, Tocoa, Colon, Honduras; Frente al Salon Latino, No. 15, 6 St 11 Ave, San Pedro Sula, Cortes, Honduras; Morazan Boulevard, Montanuela, Choloma, Cortes, Honduras; 6 Calle, El Barrio Morazan, San Pedro Sula, Cortes, Honduras",Honduras
INVERSIONES YOSARY,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=16630,Entity,SDNTK,SDN,,," Honduras; Aldea Espiritu Santo, Municipio de Florida, Departamento de Copan, Honduras",Honduras
EASY CASH S. DE R.L.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15189,Entity,SDNTK,SDN,,," San Pedro Sula, Cortes, Honduras",Honduras
CORPORACION HANDAL S. DE R.L.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15169,Entity,SDNTK,SDN,,,"3 Ave y 14 Calle N.O., Barrio Las Acacias, San Pedro Sula, Cortes, Honduras; Apartado Postal No 1018,",Honduras
INVERSIONES VALLE,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=16632,Entity,SDNTK,SDN,,,"Aldea Espiritu Santo, Municipio de Florida, Departamento de Copan, Honduras",Honduras
"GRUPO WISA, S.A.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18951,Entity,SDNTK,SDN,,strong: LA RIVIERA,"Calle 15 entre Avenida Santa Isabel y Avenida Roosevelt, Colon, Panama; Zona Libre de Colon, Torre Generali, Panama, Panama; Piso 11 y 12, Calle 54 Este y Avenida Samuel Lewis, Colombia; Guatemala; Belize; Costa Rica; El Salvador; Mexico; Bolivia; Honduras; Nicaragua; Uruguay",Honduras
FINCA LOS TRES REYES,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=16637,Entity,SDNTK,SDN,,,"Aldea Espiritu Santo, Municipio de Florida, Departamento de Copan, Honduras",Honduras
JM TROYA,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15186,Entity,SDNTK,SDN,,,"3 Ave y 14 Calle N.O., San Pedro Sula, Cortes, Honduras; Barrio Las Acacias, Apartado Postal No 1018, Ave Cricunvalacion, San Pedro Sula, Cortes, Honduras; Esquina Opuesta al Teatro Francisco Saybe,",Honduras
LOS CACHIROS,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15847,Entity,SDNTK,SDN,,, Honduras,Honduras
"MINERA MI ESPERANZA, S.A.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=16180,Entity,SDNTK,SDN,,," Honduras; Col. Las Hadas, Distrito Central, Francisco Morazan, Honduras; Cont. a Aldeas S.O.S., No. 7501",Honduras
MS-13,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15412,Entity,TCO,SDN,,strong: MARA SALVATRUCHA, El Salvador; Mexico; Honduras; Guatemala; United States,Honduras
"PALMA DEL BAJO AGUAN, S.A.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=16179,Entity,SDNTK,SDN,,strong: PALBASA; strong: PALMAS DEL BAJO AGUAN; weak: PALMEROS DEL BAJO AGUAN," Tocoa, Colon, Honduras; El Centro Principal, Tocoa, Colon, Honduras; 1 Ave 2 Cll, No. 13, Chacalpa, Bajo Aguan, Colon, Honduras",Honduras
PANDORA SHIPPING CO. S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=8394,Entity,IRAQ2,SDN,,, Honduras,Honduras
RANCHO LA HERRADURA,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15188,Entity,SDNTK,SDN,,strong: RANCHO LA HERADURA,"Bajos de Choloma Carretera a Ticamaya, Cortes, Honduras",Honduras
SUPERTIENDAS HANDAL S. DE R.L.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15184,Entity,SDNTK,SDN,,strong: SUPERTIENDAS & AUTO PARTES HANDAL,"3 Ave y 14 Calle N.O., San Pedro Sula, Cortes, Honduras; Barrio Las Acacias, Apartado Postal No 1018",Honduras
TRADING & MARITIME INVESTMENTS,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=8411,Entity,IRAQ2,SDN,,strong: TRADING AND MARITIME INVESTMENTS," San Lorenzo, Honduras",Honduras
J & E S. DE R.L. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15187,Entity,SDNTK,SDN,,strong: CLEOPATRA'S,"2 Nivel, Mall Galerias del Valle, San Pedro Sula, Cortes, Honduras; Mall Megaplaza, La Ceiba, Cortes, Honduras; Santa Rosa de Copan, Copan, Honduras",Honduras
DYNAPEX ENERGY LIMITED,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=29606,Entity,IRAN-EO13846,SDN,,"strong: SINGH SCIENCE AND TECHNOLOGY DEVELOPMENT CO., LIMITED; strong: SINGH DAILY CULTURE PRESS LIMITED","Flat/Rm 1105 11/F, Hong Kong; Hua Qin International Building, 340 Queen's Road Central",Hong Kong
CK INTERNATIONAL LTD,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23524,Entity,DPRK4,SDN,,,"c/o Korea Uljibong Shipping Co., Jongbaek 1-dong, Rakrang-guyok, Pyongyang, Korea, North; Room 9, Unit A, 3rd Floor, Cheong Sun Tower, 116-118, Wing Lok Street, Sheung Wan, Hong Kong",Hong Kong
"CHINA CONCORD PETROLEUM CO., LIMITED",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=27467,Entity,IRAN-EO13846,SDN,,strong: FAITHFUL LINKER LIMITED,"17th Floor, Siu Ying Commercial Building, Hong Kong; 151-155 Queen's Road Central,",Hong Kong
AERO SKYONE CO. LIMITED,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18929,Entity,SDGT,SDN,,strong: AEROSKYONE CO. LTD; strong: AERO SKY ONE LTD,"Tianhe Qu, Tianhe Bei Lu, 255 Hao, 1606 Fang, Guangzhou, China; Room 1501 (340), 15/F, SPA Center, Wan Chai, Hong Kong; 53-55 Lockhart Road, Room 1501 (340), Lockhart, Wan Chai, Hong Kong",Hong Kong
BANK MELLI IRAN,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=25578,Entity,IFSR; IRAN; SDGT,SDN,,strong: BANK MELLI; strong: MELLI BANK; strong: NATIONAL BANK OF IRAN; weak: BMI,"Ferdowsi Avenue - PO Box 11365-171, Tehran, Iran; 43 Avenue Montaigne, Paris, 75008, France; Room 704-6, Wheelock Hse, 20 Pedder St, Hong Kong; Bank Melli Iran Bldg, 111 St 24, 929 Arasat, Baghdad, Iraq; PO Box 2643, Ruwi, 112, Muscat, Oman; PO Box 2656, Liva Street, Abu Dhabi, United Arab Emirates; PO Box 248, Hamad Bin Abdulla St, Fujairah, United Arab Emirates; PO Box 1888, Clock Tower, Industrial Rd, Al Ain Club Bldg, Al Ain, Abu Dhabi, United Arab Emirates; PO Box 1894, Baniyas St, Deira, Dubai, United Arab Emirates; PO Box 5270, Oman Street Al Nakheel, Ras Al-Khaimah, United Arab Emirates; PO Box 459, Al Borj St, Sharjah, United Arab Emirates; PO Box 3093, Ahmed Seddiqui Bldg, Khalid Bin El-Walid St, Bur-Dubai, Dubai, United Arab Emirates; PO Box 1894, Al Wasl Rd, Jumeirah, Dubai, United Arab Emirates; Postfach 112 129, Holzbruecke 2, 20421, Hamburg, Germany; 23 Nobel Avenue, Baku, Azerbaijan; Bank Melli Iran Building, Ferdowsi Avenue, Tehran, 11365-144, Iran; No. 136 Mirdamad Boulevard, Opposite Al-ghadir Mosque, Tehran, Iran; Al Ashar Estiqlal Street - Hal Al Zohor, Basra, Iraq; 98a Kensington High Street, London, W8 4SG, United Kingdom; 767 5th Ave, 44th Fl, New York, NY, 10153, United States; PO Box 1420, New York, NY, 10153, United States",Hong Kong
"ANHUI LAND GROUP CO., LIMITED",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19249,Entity,IFSR; NPWMD,SDN,,,"Shop T18, 3/F, Cathay Pacific 88 Malls, No. 125, Wanchai Road, Wanchai, Hong Kong",Hong Kong
"ALLYRISE TECHNOLOGY GROUP CO., LIMITED",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=27989,Entity,SDNTK,SDN,,,"Room 1611B, 16/F, Kowloon, Hong Kong; Ho King Commercial Centre, 2-16 FA Yuen Street, Mongkok, Suite 1503, 15/F, North Point, Hong Kong; Carnival Commercial Building, 18 Java Road",Hong Kong
GLOBAL INDUSTRIAL AND ENGINEERING SUPPLY LTD.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=29139,Entity,IFCA,SDN,,strong: GLOBAL INDUSTRIAL AND ENGINEERING SUPPLY LIMITED; weak: GIES GROUP,"Unit 04, Bright Way Tower, No. 33, Hong Kong; Mong Kok Road Kowloon, 603-3-3, Miyun Road, Tianjin, China; Nankai District, Unit 902, 9/F, Technology Park, 18 On Lai Street, Hong Kong; Shatin, N.T.,",Hong Kong
KINGS ROMANS INTERNATIONAL INVESTMENT CO. LIMITED,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23653,Entity,TCO,SDN,,strong: KINGS ROMANS GROUP; strong: KINGS ROMANS CASINO; strong: DOK NGIU KHAM KING ROMAN GROUP; strong: DOK NGIEO KHAM COMPANY; strong: DOK NGEW KHAM CASINO CO. LTD.; strong: KING ROMANS GROUP COMPANY LTD; strong: DOKNGIEWKHAM COMPANY; strong: DONG NGIEW KHAM GROUP; strong: GOLDEN KAPOK; strong: JIN MU MIAN; strong: JING MU MIANG COMPANY; strong: MYANMAR MACAU LUNDUN; strong: WEI TA LEE COMPANY; strong: KINGS ROMAN RESORT AND CASINO; strong: DOK NGIU KHAM KING ROMAN CASINO,"Rm C, 15/F, Full Win Coml Ctr, Hong Kong; 573 Nathan Rd, Mongkok, Kowloon, Rm 3605, 36FL, Wu Chung House, Hong Kong; 213 Queen's Road East, Wan Chai, Wan Chai",Hong Kong
DINRIN LIMITED,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=29603,Entity,IRAN-EO13846,SDN,,, Hong Kong,Hong Kong
JIAXIANG INDUSTRY HONG KONG LIMITED,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=28364,Entity,IRAN-EO13846,SDN,,strong: JIAXIANG INDUSTRY LTD HONG KONG; strong: JIAXIANG INDUSTRY LTD,"Unit 1105, Hua Qin International Building, Hong Kong, Hong Kong; 340 Queen's Road Central,",Hong Kong
GROUP GRAND LIMITED,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=26996,Entity,VENEZUELA-EO13850,SDN,,strong: GROUP GRAND LTD.; strong: GROUP GRAND LIMITED GENERAL TRADING,"Room C, 25/F Cheuk Nang Plaza, Hong Kong; 250 Hennessy Road, Wan Chai",Hong Kong
HONG KONG INTERTRADE COMPANY,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15161,Entity,IRAN,SDN,,, Hong Kong,Hong Kong
HONG PANG GEMS & JEWELLERY (HK) CO. LIMITED,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11300,Entity,SDNTK,SDN,,"strong: HONG KONG HONG PANG GEMS & JEWELLERY CO., LTD.; strong: HONG PANG GEMS AND JEWELLERY (HK) CO. LIMITED; strong: HONG KONG HONG PANG GEMS AND JEWELLERY CO., LTD.","Room 3605 36/F Wu Chung House, Hong Kong; 213 Queen's Road East, Wan Chai, 11, Huang Ching (Gold) Road, Mandalay, Burma; Between 64/65 Street, Myo Thit, 12th Floor C, Jade Exchange Center, Hong Kong; 513-531, Canton Road, Kowloon, 6A, 6D North Section, 7th Building, Beijing, China; Chilung Park, 68 Sin Chung St., East City Drive, No. 19, Hung Hua Bridge, Kunming, Yunnan, China; 28th and 29th Floor, Overseas Friendship Building, Sham Cheng, Kuang Tung, China; 2, Yun Chun Road, Lo Hu",Hong Kong
JINGHO TECHNOLOGY CO. LIMITED,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=29605,Entity,IRAN-EO13846,SDN,,, Hong Kong,Hong Kong
